artistName,segment
Bob Marley & The Wailers,Previously Active Listeners
Lana Del Rey,Light listeners
J. Cole,Previously Active Listeners
Halsey,Previously Active Listeners
Jennifer Lopez,Previously Active Listeners
Various Artists,Light listeners
Arizona Zervas,Previously Active Listeners
Dolly Parton,Previously Active Listeners
Offset,Previously Active Listeners
Mr Reload It,Previously Active Listeners
Colin Firth,Previously Active Listeners
Yung Lean,Previously Active Listeners
Christina Perri,Moderate listeners
Fifth Harmony,Previously Active Listeners
Chris Brown,Previously Active Listeners
Dei V,Light listeners
Tyga,Previously Active Listeners
Céline Dion,Previously Active Listeners
Victorious Cast,Previously Active Listeners
Alexander Cardinale,Previously Active Listeners
Tayc,Previously Active Listeners
Kid Cudi,Previously Active Listeners
Michael Bublé,Moderate listeners
Hugh Jackman,Previously Active Listeners
El Alfa,Previously Active Listeners
Felix Jaehn,Previously Active Listeners
Zoe Wees,Light listeners
Christine Baranski,Previously Active Listeners
Diplo,Light listeners
BØRNS,Previously Active Listeners
Paloma Faith,Light listeners
Anne-Marie,Previously Active Listeners
DaBaby,Previously Active Listeners
A Great Big World,Light listeners
Calvin Harris,Previously Active Listeners
Gunna,Moderate listeners
Sam Feldt,Previously Active Listeners
Sub Focus,Light listeners
anders,Previously Active Listeners
Jenna Raine,Previously Active Listeners
G-Eazy,Previously Active Listeners
932sounds,Previously Active Listeners
AR/CO,Light listeners
Travis Scott,Moderate listeners
Burna Boy,Previously Active Listeners
Normani,Previously Active Listeners
Mufasa & Hypeman,Previously Active Listeners
Meek Mill,Previously Active Listeners
Cardi B,Previously Active Listeners
YoungBoy Never Broke Again,Previously Active Listeners
LANY,Previously Active Listeners
House Gospel Choir,Previously Active Listeners
Florence + The Machine,Light listeners
Leona Lewis,Previously Active Listeners
Elley Duhé,Previously Active Listeners
Morgan Wallen,Moderate listeners
JAY-Z,Previously Active Listeners
Alesso,Moderate listeners
Victor Thompson,Previously Active Listeners
Nicki Minaj,Previously Active Listeners
Russell Dickerson,Previously Active Listeners
Kanye West,Moderate listeners
Jordan Davis,Light listeners
Bryce Vine,Previously Active Listeners
Zach Bryan,Moderate listeners
HRVY,Previously Active Listeners
Ryan Riback,Light listeners
The Kid LAROI,Moderate listeners
Surf Mesa,Previously Active Listeners
The Jammin Kid,Previously Active Listeners
Pink Sweat$,Light listeners
Bailey Zimmerman,Previously Active Listeners
Mac Miller,Previously Active Listeners
Troye Sivan,Moderate listeners
PRETTYMUCH,Previously Active Listeners
Fargo,Previously Active Listeners
Subtronics,Previously Active Listeners
J Balvin,Previously Active Listeners
Audien,Previously Active Listeners
MEDUZA,Light listeners
Dua Lipa,Previously Active Listeners
Daddy Yankee,Previously Active Listeners
Jeremy Zucker,Light listeners
Famous Dex,Previously Active Listeners
Dino DZ,Previously Active Listeners
Carla Monroe,Previously Active Listeners
Katelyn Brown,Previously Active Listeners
Young Thug,Previously Active Listeners
Florida Georgia Line,Previously Active Listeners
Aatig,Previously Active Listeners
Eminem,Previously Active Listeners
Zara Larsson,Previously Active Listeners
Ólafur Arnalds,Previously Active Listeners
Amanda Seyfried,Previously Active Listeners
Andy Grammer,Moderate listeners
The Magician,Previously Active Listeners
Kane Brown,Moderate listeners
MØ,Previously Active Listeners
Lauren Spencer Smith,Previously Active Listeners
Lost Kings,Previously Active Listeners
Elle King,Previously Active Listeners
Ali Gatie,Light listeners
Liam Payne,Previously Active Listeners
Fergie,Previously Active Listeners
Yeat,Previously Active Listeners
ReMix Kings,Previously Active Listeners
Bea Miller,Previously Active Listeners
Lorde,Previously Active Listeners
Sage The Gemini,Previously Active Listeners
Rob49,Previously Active Listeners
Childish Gambino,Previously Active Listeners
Maggie Lindemann,Previously Active Listeners
Sammy Adams,Previously Active Listeners
The Weeknd,Super Listeners
Bryson Tiller,Previously Active Listeners
P!nk,Previously Active Listeners
Kendrick Lamar,Super Listeners
Rascal Flatts,Previously Active Listeners
The Band Perry,Previously Active Listeners
Mark Morrison,Previously Active Listeners
Omah Lay,Moderate listeners
Steve Aoki,Previously Active Listeners
Majid Jordan,Previously Active Listeners
Pierce Brosnan,Previously Active Listeners
Jon Pardi,Previously Active Listeners
Imagine Dragons,Previously Active Listeners
Macklemore & Ryan Lewis,Previously Active Listeners
Klingande,Light listeners
Vance Joy,Previously Active Listeners
Sofiloud,Previously Active Listeners
Kayla Rae Haywood,Previously Active Listeners
Dermot Kennedy,Light listeners
Tucker Wetmore,Previously Active Listeners
Graham Candy,Previously Active Listeners
Bebe Rexha,Previously Active Listeners
Alicia Keys,Previously Active Listeners
Meghan Trainor,Previously Active Listeners
Mako,Previously Active Listeners
Brenda Lee,Previously Active Listeners
Andy Williams,Previously Active Listeners
Flume,Light listeners
Luca Schreiner,Previously Active Listeners
mgk,Light listeners
Ashin Chen,Previously Active Listeners
Cher Lloyd,Previously Active Listeners
Gotye,Previously Active Listeners
Taylour Paige,Previously Active Listeners
Nile Rodgers,Previously Active Listeners
NEEKA,Previously Active Listeners
HVME,Previously Active Listeners
Travis Barker,Previously Active Listeners
Lennon Stella,Previously Active Listeners
Cage The Elephant,Previously Active Listeners
Daya,Moderate listeners
Doja Cat,Light listeners
Waka Flocka Flame,Previously Active Listeners
Vika Jigulina,Light listeners
Tanna Leone,Light listeners
Olivia Rodrigo,Light listeners
Dido,Previously Active Listeners
Tainy,Previously Active Listeners
Paramore,Previously Active Listeners
"Hank Williams, Jr.",Previously Active Listeners
Mark Ambor,Previously Active Listeners
Internet Money,Previously Active Listeners
Megan Thee Stallion,Previously Active Listeners
Little Mix,Previously Active Listeners
Rae Sremmurd,Previously Active Listeners
Benson Boone,Super Listeners
Mimi Webb,Light listeners
Sabrina Claudio,Previously Active Listeners
Central Cee,Previously Active Listeners
A Boogie Wit da Hoodie,Previously Active Listeners
Fred again..,Previously Active Listeners
One Direction,Previously Active Listeners
Teddy Pendergrass,Previously Active Listeners
Jay Sean,Previously Active Listeners
Miley Cyrus,Light listeners
Clairo,Previously Active Listeners
Paul McCartney,Previously Active Listeners
James Bay,Previously Active Listeners
Ruth B.,Light listeners
Nightcrawlers,Previously Active Listeners
Clean Bandit,Light listeners
MC Gury,Previously Active Listeners
Disclosure,Previously Active Listeners
W&W,Previously Active Listeners
Swedish House Mafia,Previously Active Listeners
Sash!,Previously Active Listeners
Ryan Lewis,Previously Active Listeners
Aloe Blacc,Previously Active Listeners
Hot Chelle Rae,Previously Active Listeners
SativaMusic,Previously Active Listeners
Rudimental,Previously Active Listeners
Edward Maya,Light listeners
Starley,Light listeners
Nelly Furtado,Previously Active Listeners
JID,Light listeners
B.o.B,Previously Active Listeners
Grey,Previously Active Listeners
Ruff Loaderz,Previously Active Listeners
Big Sean,Previously Active Listeners
Olly Murs,Previously Active Listeners
Ellusive,Previously Active Listeners
James Arthur,Moderate listeners
Ziv Zaifman,Previously Active Listeners
Mackenzie Carpenter,Previously Active Listeners
John Legend,Moderate listeners
Trippie Redd,Previously Active Listeners
DJ Khaled,Previously Active Listeners
Matthew Mole,Previously Active Listeners
Shawn Mendes,Previously Active Listeners
Kodak Black,Previously Active Listeners
Seeb,Previously Active Listeners
Jason Derulo,Previously Active Listeners
Carlos Vives,Previously Active Listeners
Cast Of 'Camp Rock 2',Previously Active Listeners
WALK THE MOON,Previously Active Listeners
Mindless Behavior,Previously Active Listeners
Rihanna,Moderate listeners
Rauw Alejandro,Previously Active Listeners
Kacey Musgraves,Previously Active Listeners
H.E.R.,Previously Active Listeners
SZA,Super Listeners
Saweetie,Previously Active Listeners
Drax Project,Previously Active Listeners
Bon Iver,Previously Active Listeners
French Montana,Previously Active Listeners
ILLENIUM,Previously Active Listeners
Dean Lewis,Previously Active Listeners
Sorana,Light listeners
Hozier,Moderate listeners
Coldplay,Previously Active Listeners
Ed Sheeran,Previously Active Listeners
Keri Hilson,Previously Active Listeners
R. City,Previously Active Listeners
Blake Shelton,Light listeners
Jack Harlow,Previously Active Listeners
Sped Up Songs + Nightcore,Previously Active Listeners
Eslabon Armado,Previously Active Listeners
Brad Paisley,Previously Active Listeners
Post Malone,Super Listeners
GAYLE,Previously Active Listeners
Route 94,Light listeners
Tom Odell,Light listeners
cassö,Previously Active Listeners
Tape B,Previously Active Listeners
MERYLL,Previously Active Listeners
Summer Walker,Previously Active Listeners
JVKE,Light listeners
JP Cooper,Super Listeners
21 Savage,Light listeners
Bad Meets Evil,Previously Active Listeners
Ren Ran,Previously Active Listeners
Carrie Underwood,Light listeners
Myles Smith,Moderate listeners
Niall Horan,Previously Active Listeners
James Hype,Previously Active Listeners
Zendaya,Previously Active Listeners
Caroline Manning,Previously Active Listeners
blackbear,Light listeners
FRENSHIP,Moderate listeners
JP Saxe,Light listeners
Birdy,Light listeners
Pentatonix,Previously Active Listeners
Zerky,Previously Active Listeners
De La Ghetto,Previously Active Listeners
Kesha,Previously Active Listeners
James TW,Previously Active Listeners
Darell,Previously Active Listeners
Emily Warren,Moderate listeners
Lil Baby,Previously Active Listeners
Dzeko,Previously Active Listeners
Kaliii,Previously Active Listeners
PinkPantheress,Previously Active Listeners
Candy Claus,Previously Active Listeners
Bellini,Previously Active Listeners
Roddy Ricch,Previously Active Listeners
Sigala,Moderate listeners
Lee Brice,Previously Active Listeners
Dan Caplen,Previously Active Listeners
Katy Perry,Previously Active Listeners
Cherub,Previously Active Listeners
Taylor Swift,Moderate listeners
Cheat Codes,Previously Active Listeners
Logic,Previously Active Listeners
Michael Jackson,Previously Active Listeners
Captain Cuts,Previously Active Listeners
Rosa Linn,Previously Active Listeners
Lewis Capaldi,Moderate listeners
BIA,Previously Active Listeners
Omar Courtz,Light listeners
Adam Levine,Previously Active Listeners
Nelly,Previously Active Listeners
fun.,Previously Active Listeners
Ella Henderson,Previously Active Listeners
Galantis,Previously Active Listeners
Teddy Swims,Moderate listeners
Matt Maeson,Previously Active Listeners
Ariana Grande,Moderate listeners
Matt Sassari,Previously Active Listeners
Julie Walters,Previously Active Listeners
MNEK,Previously Active Listeners
Yo Gotti,Previously Active Listeners
Far East Movement,Previously Active Listeners
Miguel,Light listeners
Maren Morris,Previously Active Listeners
RANI,Previously Active Listeners
Megan Moroney,Light listeners
Josh Groban,Previously Active Listeners
Bad Bunny,Super Listeners
Johnny Orlando,Light listeners
Sierra Ferrell,Previously Active Listeners
Alexander Stewart,Previously Active Listeners
GIMS,Previously Active Listeners
Endor,Light listeners
Gym Class Heroes,Previously Active Listeners
Pitbull,Previously Active Listeners
Sara Bareilles,Light listeners
Maurice West,Previously Active Listeners
harf.,Previously Active Listeners
ZAYN,Previously Active Listeners
YNW Melly,Previously Active Listeners
Charli xcx,Previously Active Listeners
HAYLA,Moderate listeners
Frank Ocean,Light listeners
Jawsh 685,Previously Active Listeners
A$AP Rocky,Light listeners
Armin van Buuren,Light listeners
Jonas Blue,Previously Active Listeners
Juice WRLD,Previously Active Listeners
BEAM,Previously Active Listeners
Various Artists,Previously Active Listeners
Kehlani,Previously Active Listeners
Shakira,Previously Active Listeners
Cody Simpson,Previously Active Listeners
LeoStayTrill,Previously Active Listeners
Ne-Yo,Previously Active Listeners
The Script,Light listeners
Fall Out Boy,Previously Active Listeners
ERNEST,Previously Active Listeners
Chelsea Cutler,Moderate listeners
Twenty One Pilots,Previously Active Listeners
SHAUN,Previously Active Listeners
Selena Gomez,Super Listeners
Rex Orange County,Previously Active Listeners
Popcaan,Previously Active Listeners
Morray,Previously Active Listeners
Selena Gomez & The Scene,Moderate listeners
Dopamine,Previously Active Listeners
Miranda Lambert,Previously Active Listeners
Ed Sheeran & Justin Bieber,Previously Active Listeners
JHAYCO,Previously Active Listeners
Bomba Estéreo,Previously Active Listeners
(G)I-DLE,Previously Active Listeners
Blxst,Previously Active Listeners
ALMA,Light listeners
Bakermat,Previously Active Listeners
Roy Woods,Previously Active Listeners
Nightcore,Previously Active Listeners
Chuwi,Moderate listeners
Paige Cavell,Previously Active Listeners
Ryan Gosling,Previously Active Listeners
MIKA,Light listeners
Tems,Previously Active Listeners
Rod Wave,Previously Active Listeners
Sam Fischer,Previously Active Listeners
Young Stoner Life,Previously Active Listeners
Dan + Shay,Light listeners
Sofía Reyes,Previously Active Listeners
NF,Light listeners
Marc E. Bassy,Previously Active Listeners
Lil Nas X,Previously Active Listeners
CIL,Previously Active Listeners
The Blaze,Previously Active Listeners
Oliver Heldens,Previously Active Listeners
BlocBoy JB,Previously Active Listeners
Stellan Skarsgård,Previously Active Listeners
hey daisy,Previously Active Listeners
Kevin Abstract,Previously Active Listeners
Dom Dolla,Moderate listeners
Lil Uzi Vert,Previously Active Listeners
Robinson,Previously Active Listeners
City Girls,Previously Active Listeners
Chencho Corleone,Previously Active Listeners
Alec Benjamin,Previously Active Listeners
Madison Beer,Previously Active Listeners
SUPER-Hi,Previously Active Listeners
Cast of Mamma Mia! The Movie,Previously Active Listeners
Alessia Cara,Previously Active Listeners
Sickick,Previously Active Listeners
Jason Aldean,Light listeners
Stacey Ryan,Previously Active Listeners
Nathan Dawe,Previously Active Listeners
Old Dominion,Previously Active Listeners
Alex Newell,Previously Active Listeners
Lil Durk,Previously Active Listeners
Kylie Morgan,Previously Active Listeners
Gesaffelstein,Previously Active Listeners
Funk Wav,Previously Active Listeners
The Temper Trap,Previously Active Listeners
Chord Overstreet,Previously Active Listeners
