"name","lastModifiedDate","items__track","items__episode__episodeName","items__episode__showName","items__episode__episodeUri","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__audiobook","items__localTrack__uri","items__localTrack","items__addedDate","description","numberOfFollowers"
"","","","","","","Semi Truck","Commander Cody","Dopers, Drunks and Everyday Losers","spotify:track:3T8f7yBOaLxC0cIb7VVWXH","null","null","","null","2024-11-20","",""
"","","","","","","You Can Have the Crown","Sturgill Simpson","High Top Mountain","spotify:track:1aSsE0qevtf2YDXmdFOY6b","null","null","","null","2024-11-21","",""
"","","","","","","Life Ain't Fair and the World Is Mean","Sturgill Simpson","High Top Mountain","spotify:track:3M97fwKZfzvQ8xppMoQ7a0","null","null","","null","2024-11-21","",""
"","","","","","","Standing Here","Colter Wall","Little Songs","spotify:track:6iVeuRxhoCrgSdnhkpM0tN","null","null","","null","2024-11-21","",""
"Steel guitar","2024-04-17","","","","","That Glass","Eddie Bond","Stax Country","spotify:track:0RwH4eEVg4IdozwcnjOuDc","null","null","","null","2024-04-17","null","0"
"Busk","2024-03-11","","","","","That Old Feeling","Chet Baker","Chet Baker Sings","spotify:track:2d64G7VaZdHQuAquz5HQNu","null","null","","null","2024-03-11","null","0"
"","","","","","","Let's Get Lost","Chet Baker","Let's Get Lost: The Best Of Chet Baker Sings","spotify:track:6EZXO2zjC6KlLbNwc2HDMc","null","null","","null","2024-03-11","",""
"","","","","","","Fly Me To The Moon - 2008 Remastered","Frank Sinatra","Nothing But The Best","spotify:track:7FXj7Qg3YorUxdrzvrcY25","null","null","","null","2024-03-11","",""
"","","","","","","Sorry You're Sick","Ted Hawkins","Watch Your Step","spotify:track:0bQfDEGIkkjrrbGkK4JLmF","null","null","","null","2024-03-11","",""
"","","","","","","Angel from Montgomery","John Prine","John Prine","spotify:track:2qWKpYIleSvBT6aUMXoia5","null","null","","null","2024-03-11","",""
"","","","","","","Cover Me Up","Jason Isbell","Southeastern","spotify:track:5qW6ZYct54PhKliCntyxRX","null","null","","null","2024-03-11","",""
"","","","","","","Plateau","Meat Puppets","II","spotify:track:1szDksEZ8FUIESuhvoi2yN","null","null","","null","2024-03-11","",""
"","","","","","","Season of the Witch","Donovan","Sunshine Superman","spotify:track:6MOEQCtAWNSCmvg3SFKF5y","null","null","","null","2024-03-11","",""
"","","","","","","Ain't That A Shame","Fats Domino","Fats Domino Swings","spotify:track:4ZfQwNx3FlCN07cnUvekh3","null","null","","null","2024-03-11","",""
"","","","","","","Ball of the Dead Rat","The Teeth","You're My Lover Now","spotify:track:13YZn9f8rGCXOx306t6r1I","null","null","","null","2024-03-11","",""
"","","","","","","Do I Ever Cross Your Mind","Chet Atkins","Chet Atkins - The Master And His Music","spotify:track:31xqbaSu7ozgcK8desDuMK","null","null","","null","2024-03-11","",""
"","","","","","","Summertime","Doc Watson","Doc & Dawg","spotify:track:0TVZP8rU7QdPi1xcGNSlYS","null","null","","null","2024-03-11","",""
"","","","","","","Minnie the Moocher","Cab Calloway","Presenting Cab Calloway","spotify:track:1ReJO3y8gDHlr4T0fbAMgl","null","null","","null","2024-03-11","",""
"","","","","","","Minnie the Moocher (Theme Song)","Cab Calloway","Best Of The Big Bands","spotify:track:2JOJBxwRHWYcdXiOxZmoFv","null","null","","null","2024-03-11","",""
"Songs for grandpa","2024-03-04","","","","","La vie en rose - Single Version","Louis Armstrong","The Best Of The Decca Years Volume One: The Singer","spotify:track:1UH4viviUjZnS9aWgPGrk0","null","null","","null","2024-03-04","null","0"
"","","","","","","Cheek to Cheek","Fred Astaire","The Essential Fred Astaire","spotify:track:5qWXXF3On2xUfVu1ND1NLN","null","null","","null","2024-03-04","",""
"","","","","","","Blowin' in the Wind","Bob Dylan","The Freewheelin' Bob Dylan","spotify:track:18GiV1BaXzPVYpp9rmOg0E","null","null","","null","2024-03-04","",""
"","","","","","","Don't Think Twice, It's All Right","Bob Dylan","The Freewheelin' Bob Dylan","spotify:track:2WOjLF83vqjit2Zh4B69V3","null","null","","null","2024-03-04","",""
"","","","","","","Stuck Inside of Mobile with the Memphis Blues Again","Bob Dylan","Blonde On Blonde","spotify:track:1NYTj6JEw3IOh4ggiBh82h","null","null","","null","2024-03-04","",""
"","","","","","","500 Miles","Peter, Paul and Mary","Peter, Paul and Mary","spotify:track:6oMZhY0f1ReI6AJDDYfuSb","null","null","","null","2024-03-04","",""
"","","","","","","Prisoners","John Denver","Rocky Mountain High","spotify:track:2mn5NjhEPYbH4crCqGFVzo","null","null","","null","2024-03-04","",""
"","","","","","","Subterranean Homesick Blues","Bob Dylan","Bringing It All Back Home","spotify:track:6k9DUKMJpWvu6eFG3O64Lg","null","null","","null","2024-03-04","",""
"","","","","","","So Far Away","Carole King","Tapestry","spotify:track:4HHge4zAyIw3pkrtFzmwCl","null","null","","null","2024-03-04","",""
"","","","","","","Bad, Bad Leroy Brown","Jim Croce","Life & Times","spotify:track:2r3XNMon9K7bl2KTtHsaQO","null","null","","null","2024-03-04","",""
"Fusion","2024-09-10","","","","","スワロー","CASIOPEA","CASIOPEA","spotify:track:6JqDvkuehHaeyndeGmLrRt","null","null","","null","2024-02-19","null","0"
"","","","","","","タイム・リミット","CASIOPEA","CASIOPEA","spotify:track:0MaM0yE9EdQEJwDfs6EAZ9","null","null","","null","2024-02-19","",""
"","","","","","","Got A Match?","Chick Corea Elektric Band","The Chick Corea Elektric Band","spotify:track:5hqqPJuZVQkTtIos7zS6nD","null","null","","null","2024-02-19","",""
"","","","","","","Return To Forever","Chick Corea","Return To Forever","spotify:track:6OFvrxUnXyMe5KcOpuGfr1","null","null","","null","2024-02-19","",""
"","","","","","","What Game Shall We Play Today","Chick Corea","Return To Forever","spotify:track:0mC8MfVqQ1pHGKCdfhiHye","null","null","","null","2024-02-19","",""
"","","","","","","Party at Kinsey's","Tribal Tech","Thick","spotify:track:0Nphfu2Kb1EQU2oHQTUFYp","null","null","","null","2024-02-20","",""
"","","","","","","ミッドナイト・ランデブー - Live at Chuo Kaikan Hall, Tokyo, Feb. 1982","CASIOPEA","MINT JAMS(Live)","spotify:track:1yYJJIW523fsgjkGAfHTfV","null","null","","null","2024-02-20","",""
"","","","","","","Black Market","Weather Report","Black Market","spotify:track:2AsjFgg7ImLpxySqCw0b0L","null","null","","null","2024-02-20","",""
"","","","","","","Barbary Coast","Weather Report","Black Market","spotify:track:33dzCF8R1qMzwmkdGGnm1j","null","null","","null","2024-02-20","",""
"","","","","","","Peg","Steely Dan","Aja","spotify:track:5emxp4RqsF6QoAWXW2Afrk","null","null","","null","2024-02-21","",""
"","","","","","","The World It Softly Lulls","Hiatus Kaiyote","Tawk Tomahawk","spotify:track:5ZJWZkSQK2cMpFJFw0t9Y0","null","null","","null","2024-02-22","",""
"","","","","","","Lopsy Lu","Stanley Clarke","Stanley Clarke","spotify:track:6zjsPG8hqLrM6HEJ2RWY8R","null","null","","null","2024-02-23","",""
"","","","","","","Weedie B. Good","Ghost-Note","Swagism","spotify:track:7ILm21w70zATzT78rDYCCj","null","null","","null","2024-03-04","",""
"","","","","","","The Sixteen Men of Tain - Remastered","Allan Holdsworth","The Sixteen Men of Tain (Remastered)","spotify:track:70bGCbqGH2Qms2mo98zflJ","null","null","","null","2024-09-09","",""
"","","","","","","Projekt 13","Markus Venehsalo","Projekt 13","spotify:track:2eYwlXQ2kN1uq3qbcCVh9l","null","null","","null","2024-09-10","",""
"Drum","2023-12-26","","","","","Normalisation","Parquet Courts","Wide Awake!","spotify:track:5Ub71TCsR3SAbaBl1VGQvz","null","null","","null","2023-12-16","null","0"
"","","","","","","Love U Like the Sun in June","Ryan Scott","A Freak Grows in Brooklyn","spotify:track:55nD22U1Y91PaZFjcbjyoZ","null","null","","null","2023-12-26","",""
"","","","","","","Gorilla","Little Simz","NO THANK YOU","spotify:track:0pJO1tc1GpnxFyQp6Zp82r","null","null","","null","2023-12-26","",""
"Chicken pickin","2023-11-29","","","","","Bake","Jerry Reed","Red Hot Picker","spotify:track:4g5gnJfojAyaOdDEIOlVRm","null","null","","null","2023-11-29","null","0"
"","","","","","","Alabama Jubilee","Jerry Reed","Both Barrels","spotify:track:55KAJrtkjuVgCxcGnPcxCY","null","null","","null","2023-11-29","",""
"","","","","","","Miller's Cave","Jerry Reed","Both Barrels","spotify:track:1rClYKeFiEeYIfrEPpAU4D","null","null","","null","2023-11-29","",""
"Edm","2023-12-06","","","","","nieuwe tune","gladde paling","nieuwe tune","spotify:track:50vL2N1dMkXr3eeL1x54Mm","null","null","","null","2023-11-25","null","0"
"","","","","","","paranoia","KENTENSHI","paranoia","spotify:track:7w4t6sPVdboBZpa5prmUuj","null","null","","null","2023-12-05","",""
"","","","","","","Fingerbib","Aphex Twin","Richard D. James Album","spotify:track:2hcywxHZcxmX27lX5qm8MT","null","null","","null","2023-12-05","",""
"","","","","","","Counting All The Starfish","kitty ray","Rose Gold (Deluxe)","spotify:track:1jpeaMkkBI62OYH0z5nAhb","null","null","","null","2023-12-05","",""
"","","","","","","cloud zone","oooz","cloud zone / don’t leave","spotify:track:1zc3yh7swGkF8E8suUzgLA","null","null","","null","2023-12-06","",""
"","","","","","","don’t leave","oooz","cloud zone / don’t leave","spotify:track:6lODScYIBUXFflEMLvzeVQ","null","null","","null","2023-12-06","",""
"","","","","","","I’m the Happiest I’ve Ever Been","Starmoon","Campfire Of Dreams","spotify:track:1dFQCdDFIuiLdZsCaPTugt","null","null","","null","2023-12-06","",""
"New jazz","2023-09-28","","","","","Djurkel","Pino Palladino","Notes With Attachments","spotify:track:76cK6vH2Bh1BuqECneYpVu","null","null","","null","2023-09-28","null","0"
"","","","","","","There Is This Thing","Reginald Chapman","Accretion","spotify:track:4BJXQzDh3hoE1PVe0UJzdn","null","null","","null","2023-09-28","",""
"","","","","","","Changing Light","Ironsides","Changing Light","spotify:track:1oIkO7Fns1dQ3OTbKuRo06","null","null","","null","2023-09-28","",""
"Big heavy blanket ","2023-12-11","","","","","Echo, Bravo","Duster","Stratosphere","spotify:track:4bvBwAJKqyiSjtFFvJw8pe","null","null","","null","2023-09-27","null","0"
"","","","","","","Excuse","Parannoul","To See the Next Part of the Dream","spotify:track:0OFHufUvVOPvNKOPgbaDRn","null","null","","null","2023-09-28","",""
"","","","","","","bricks","moss boy","bricks","spotify:track:6cjOIXPqBEnsH9VsS5G2If","null","null","","null","2023-10-06","",""
"","","","","","","I Hate the Flowers","Nothing","Dance on the Blacktop","spotify:track:6U1BjvVwE9hDCasACGvguA","null","null","","null","2023-10-06","",""
"","","","","","","Beautiful World","Parannoul","To See the Next Part of the Dream","spotify:track:2L7yZATBaLmKEb0BvIBXK2","null","null","","null","2023-10-06","",""
"","","","","","","Blue Line Baby","Nothing","Dance on the Blacktop","spotify:track:4syzzi19vlAQOFDtipYyRL","null","null","","null","2023-10-06","",""
"","","","","","","How to Hold a Knife","quannnic","How to Hold a Knife","spotify:track:0X09CrNSf6i0OWSVqU3RT0","null","null","","null","2023-10-06","",""
"","","","","","","Youngest Daughter","Superheaven","Jar","spotify:track:3tYxhPqkioZEV5el3DJxLQ","null","null","","null","2023-10-06","",""
"","","","","","","Your face","Wisp","Your face","spotify:track:7ne2hzW4jaU5tacaCI4kJH","null","null","","null","2023-10-06","",""
"","","","","","","The Weed Supreme","Duster","Remote Echoes","spotify:track:515C6Le8zgtALLf5cwT7Za","null","null","","null","2023-10-06","",""
"","","","","","","life imitates life","quannnic","kenopsia","spotify:track:5E9qBEUja2yAjUPhQO8Gx7","null","null","","null","2023-10-06","",""
"","","","","","","heartache st.","what is your name?","the now now and never","spotify:track:2SeHKKU1oiBfU4xR9FUnS4","null","null","","null","2023-10-26","",""
"","","","","","","It's Okay...","what is your name?","My Name Is...","spotify:track:2mHmttqCxUtYEOJO10czhf","null","null","","null","2023-11-13","",""
"","","","","","","Heroin","Sugar Cherry","Isn't It Wonderful","spotify:track:7D1OsvTTxT4YNMLMCbfI0W","null","null","","null","2023-11-13","",""
"","","","","","","Try Harder Still","Glitterer","Life Is Not A Lesson","spotify:track:4qrTk0Ap5AJ04Afy7w93Cm","null","null","","null","2023-11-21","",""
"","","","","","","Somewhere Without Me","Alien Boy","Sleeping Lessons","spotify:track:6rpvL3ZIb6tHjx1dfncdaz","null","null","","null","2023-11-21","",""
"","","","","","","'95 Slow","Toner","Silk Road","spotify:track:5mvv5bI8M2uteYiaKeXa8p","null","null","","null","2023-11-21","",""
"","","","","","","Brett Favre","Slow Pulp","Ep2","spotify:track:47JE5lzJ9EbSApMShcs1ie","null","null","","null","2023-11-30","",""
"","","","","","","The Wishing Well","Ovlov","Buds","spotify:track:4XVrIdHZePkkgHVbas55YL","null","null","","null","2023-11-30","",""
"","","","","","","Ugly Brunette","Horse Jumper of Love","Horse Jumper of Love","spotify:track:0fUV4Y51wN8lnG75rkDDwg","null","null","","null","2023-12-04","",""
"","","","","","","Disco Hijack","125 Rue Montmartre","Discography","spotify:track:0086na5wMSHnt6fU9y78F0","null","null","","null","2023-12-11","",""
"","","","","","","In October of 2019 I Called a Suicide Hotline for the First Time in My Life","Your Arms Are My Cocoon","Your Arms Are My Cocoon","spotify:track:4beItMEEEAeqTiww4HbILF","null","null","","null","2023-12-11","",""
"Anniversary ","2023-09-26","","","","","Harvest Moon","Sunflower Bean","From the Basement","spotify:track:2uUCCzxbK2oxUMayYqGhdd","null","null","","null","2023-09-26","null","0"
"","","","","","","From The Start","Laufey","From The Start","spotify:track:1Ukxccao1BlWrPhYkcXbwZ","null","null","","null","2023-09-26","",""
"","","","","","","You Send Me","Otis Redding","Pain in My Heart","spotify:track:59YgzH5x6Do6byUMwMobkv","null","null","","null","2023-09-26","",""
"","","","","","","I'll Come Running Back To You - Single Version With Dubs","Sam Cooke","The 2 Sides Of Sam Cooke","spotify:track:3CDEoUqFIzVap4v8YFnjr4","null","null","","null","2023-09-26","",""
"","","","","","","I Fall In Love Too Easily","Chet Baker","Chet Baker Sings","spotify:track:0F845nujLVqCb0XMZCh5Pc","null","null","","null","2023-09-26","",""
"","","","","","","Glue Song","beabadoobee","Glue Song","spotify:track:3iBgrkexCzVuPy4O9vx7Mf","null","null","","null","2023-09-26","",""
"","","","","","","How Deep Is Your Love (feat. Yebba) - Live","PJ Morton","Gumbo Unplugged (Live)","spotify:track:3SjAiqAQ6sMmsJBeVw0nMf","null","null","","null","2023-09-26","",""
"","","","","","","Right Side of My Neck","Faye Webster","Atlanta Millionaires Club","spotify:track:3cxZT78mZDyLsLPJKcTu3U","null","null","","null","2023-09-26","",""
"","","","","","","Vampire Empire","Big Thief","Vampire Empire","spotify:track:0ToG55iJZCOzZkcpWbXxpW","null","null","","null","2023-09-26","",""
"","","","","","","All Of Me","Frank Sinatra","Ultimate Sinatra: The Centennial Collection","spotify:track:33pzrwKJ4rWuVo9ozQ6Dxt","null","null","","null","2023-09-26","",""
"","","","","","","My Girl","The Temptations","The Temptations Sing Smokey","spotify:track:745H5CctFr12Mo7cqa1BMH","null","null","","null","2023-09-26","",""
"ExMilitary","2023-09-21","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:Beware:352","","2023-09-21","Shoutout to Nathan for making me this awesome playlist ","0"
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:Thru+the+Walls:235","","2023-09-21","",""
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:Known+for+it:252","","2023-09-21","",""
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:Lord+of+the+Game+%28ft.+Mexican+Girl%29:210","","2023-09-21","",""
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:I+Want+it+I+need+it+%28Death+Heated%29:370","","2023-09-21","",""
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:Guillotine:223","","2023-09-21","",""
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:Blood+Creepin:290","","2023-09-21","",""
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:Takyon+%28Death+Yon%29:168","","2023-09-21","",""
"","","null","","","","","","","","null","null","spotify:local:Death+Grips:Exmilitary:Spread+Eagle+Cross+the+Block:231","","2023-09-21","",""
