artistName,segment,user_id
Pop Smoke,Previously Active Listeners,user_001
Sting,Previously Active Listeners,user_001
Ice Cube,Previously Active Listeners,user_001
Bastille,Previously Active Listeners,user_001
The Foundations,Light listeners,user_001
Playboi Carti,Light listeners,user_001
Amanda Reifer,Moderate listeners,user_001
Red Hot Chili Peppers,Super Listeners,user_001
M.I.A.,Previously Active Listeners,user_001
David Guetta,Previously Active Listeners,user_001
DJ Drama,Previously Active Listeners,user_001
Mr. Probz,Previously Active Listeners,user_001
Todd Rundgren,Previously Active Listeners,user_001
Grupo Frontera,Previously Active Listeners,user_001
Janet Jackson,Previously Active Listeners,user_001
FITZ,Previously Active Listeners,user_001
Rich The Kid,Previously Active Listeners,user_001
Rick Ross,Previously Active Listeners,user_001
Gucci Mane,Previously Active Listeners,user_001
Anderson .Paak,Previously Active Listeners,user_001
OneRepublic,Moderate listeners,user_001
Kelis,Previously Active Listeners,user_001
BabyTron,Previously Active Listeners,user_001
COIN,Previously Active Listeners,user_001
Ayo & Teo,Previously Active Listeners,user_001
Mustard,Previously Active Listeners,user_001
Caesars,Light listeners,user_001
Ty Dolla $ign,Light listeners,user_001
Oliver Tree,Previously Active Listeners,user_001
Lenny Kravitz,Previously Active Listeners,user_001
Milky Chance,Moderate listeners,user_001
Lilly Wood and The Prick,Previously Active Listeners,user_001
TheNightAftr,Previously Active Listeners,user_001
The Game,Light listeners,user_001
MGMT,Light listeners,user_001
Empire Of The Sun,Moderate listeners,user_001
Lil Skies,Previously Active Listeners,user_001
"Tyler, The Creator",Light listeners,user_001
¥$,Light listeners,user_001
Lukas Graham,Previously Active Listeners,user_001
Wiz Khalifa,Previously Active Listeners,user_001
Key Glock,Previously Active Listeners,user_001
The Beatles,Light listeners,user_001
Kungs,Previously Active Listeners,user_001
Tears For Fears,Previously Active Listeners,user_001
Nico & Vinz,Previously Active Listeners,user_001
Marshmello,Previously Active Listeners,user_001
X Ambassadors,Light listeners,user_001
Still Woozy,Moderate listeners,user_001
James Blake,Previously Active Listeners,user_001
Future,Moderate listeners,user_001
KIDS SEE GHOSTS,Light listeners,user_001
John Martin,Previously Active Listeners,user_001
The Neighbourhood,Previously Active Listeners,user_001
Sister Hazel,Previously Active Listeners,user_001
Queen,Light listeners,user_001
USHER,Previously Active Listeners,user_001
2 Chainz,Previously Active Listeners,user_001
$NOT,Previously Active Listeners,user_001
Daryl Hall & John Oates,Previously Active Listeners,user_001
Pharrell Williams,Previously Active Listeners,user_001
Mike Posner,Previously Active Listeners,user_001
Yung Gravy,Previously Active Listeners,user_001
Lil Mosey,Previously Active Listeners,user_001
iann dior,Previously Active Listeners,user_001
Afroman,Previously Active Listeners,user_001
Aminé,Previously Active Listeners,user_001
A$AP Ferg,Moderate listeners,user_001
Carly Rae Jepsen,Previously Active Listeners,user_001
Khalid,Previously Active Listeners,user_001
Sam Dew,Previously Active Listeners,user_001
